230.0415	9759
233.6166	9941
237.1903	10106
240.7626	10273
244.3334	10550
247.9027	10753
251.4706	10931
255.037	10892
258.602	11080
262.1655	11234
265.7276	11107
269.2882	11272
272.8474	11233
276.4052	11118
279.9615	11273
283.5163	11267
287.0697	11380
290.6217	11275
294.1722	11194
297.7213	11253
301.2689	11081
304.8151	11180
308.3598	11220
311.9032	11457
315.445	11478
318.9855	11559
322.5245	11816
326.062	11694
329.5981	11958
333.1328	11957
336.6661	12152
340.1979	12299
343.7283	12612
347.2573	12448
350.7849	12611
354.3109	12899
357.8356	12889
361.3589	13031
364.8807	13107
368.4011	13251
371.9201	13289
375.4376	13425
378.9537	13533
382.4684	13711
385.9817	13762
389.4936	13813
393.004	13797
396.513	13791
400.0206	13628
403.5268	13654
407.0316	13668
410.5349	13568
414.0368	13619
417.5373	13525
421.0364	13643
424.5341	13526
428.0304	13661
431.5252	13772
435.0187	13826
438.5107	13936
442.0013	13727
445.4906	13712
448.9784	14092
452.4648	14186
455.9498	14247
459.4334	14198
462.9156	14022
466.3963	14327
469.8757	14131
473.3537	14342
476.8303	14274
480.3055	14254
483.7792	14469
487.2516	14324
490.7226	14282
494.1921	14305
497.6603	14346
501.1271	14392
504.5925	14628
508.0565	14477
511.5191	14418
514.9803	14507
518.4401	14435
521.8985	14467
525.3555	14359
528.8112	14177
532.2654	14357
535.7183	14292
539.1697	14464
542.6199	14390
546.0685	14435
549.5159	14242
552.9618	14408
556.4063	14256
559.8495	14108
563.2913	14067
566.7317	14154
570.1707	14079
573.6083	13951
577.0446	14002
580.4795	14088
583.913	14238
587.3451	14000
590.7758	14179
594.2052	14089
597.6332	13718
601.0598	13634
604.485	13470
607.9089	13457
611.3314	13416
614.7526	13494
618.1724	13143
621.5908	13129
625.0078	13171
628.4234	13197
631.8377	13239
635.2506	13314
638.6622	13108
642.0724	13242
645.4812	13318
648.8887	13390
652.2947	13314
655.6995	13446
659.1028	13214
662.5049	13358
665.9055	13638
669.3048	13497
672.7028	13369
676.0994	13523
679.4946	13733
682.8884	13657
686.2809	13926
689.6721	14069
693.0619	13988
696.4503	14019
699.8375	14121
703.2232	13955
706.6076	14107
709.9906	13899
713.3723	13938
716.7527	13931
720.1317	13917
723.5093	13836
726.8856	13751
730.2606	13591
733.6342	13798
737.0065	13568
740.3774	13584
743.7469	13586
747.1152	13693
750.4821	13698
753.8477	13591
757.2119	13380
760.5748	13497
763.9363	13388
767.2965	13370
770.6553	13213
774.0129	13220
777.3691	13344
780.7239	13153
784.0775	13161
787.4296	13254
790.7805	13241
794.1301	13396
797.4782	13359
800.8251	13270
804.1707	13469
807.5148	13435
810.8577	13534
814.1993	13412
817.5395	13548
820.8784	13533
824.2159	13519
827.5522	13445
830.8871	13547
834.2208	13644
837.553	13567
840.884	13503
844.2136	13333
847.5419	13526
850.8689	13447
854.1946	13516
857.5189	13329
860.842	13224
864.1637	13241
867.4841	13207
870.8032	13097
874.121	13093
877.4374	12932
880.7526	12874
884.0665	12861
887.379	12776
890.6902	12577
894.0001	12578
897.3087	12721
900.616	12617
903.9219	12588
907.2266	12441
910.53	12395
913.832	12366
917.1328	12365
920.4323	12400
923.7304	12470
927.0272	12302
930.3228	12209
933.617	12206
936.9099	12072
940.2015	12122
943.4919	11946
946.7809	12056
950.0687	11937
953.3551	12186
956.6403	11974
959.9241	12171
963.2067	12008
966.4879	11929
969.7679	12054
973.0466	12084
976.3239	12200
979.6	12184
982.8748	12216
986.1483	12266
989.4205	12237
992.6914	12304
995.9611	12242
999.2294	12098
1002.496	12138
1005.762	12100
1009.027	12107
1012.29	11978
1015.552	12133
1018.813	11902
1022.072	11732
1025.33	12043
1028.587	11867
1031.842	12002
1035.096	11920
1038.349	11969
1041.601	11887
1044.851	11748
1048.101	11841
1051.348	11867
1054.595	11758
1057.84	11711
1061.084	11701
1064.327	11776
1067.568	11714
1070.809	11590
1074.047	11689
1077.285	11586
1080.522	11865
1083.757	11594
1086.99	11682
1090.223	11630
1093.454	11749
1096.684	11724
1099.913	11942
1103.141	11883
1106.367	11838
1109.592	11889
1112.816	12103
1116.038	11970
1119.259	12026
1122.479	12174
1125.698	12224
1128.915	12279
1132.131	12045
1135.346	12349
1138.56	12457
1141.772	12456
1144.983	12609
1148.193	12529
1151.402	12522
1154.609	12416
1157.815	12335
1161.02	12310
1164.224	12211
1167.426	12315
1170.627	12321
1173.827	12171
1177.025	12229
1180.223	12269
1183.419	12568
1186.614	12114
1189.807	12056
1192.999	12220
1196.191	11967
1199.38	11909
1202.569	11799
1205.756	11612
1208.942	11912
1212.127	11573
1215.311	11550
1218.493	11654
1221.674	11735
1224.854	11841
1228.033	11843
1231.21	11824
1234.386	11899
1237.561	11995
1240.735	11997
1243.908	12026
1247.079	12242
1250.249	12032
1253.418	12114
1256.585	12170
1259.751	12292
1262.917	12326
1266.08	12499
1269.243	12546
1272.404	12735
1275.564	12851
1278.723	12851
1281.881	12798
1285.037	12898
1288.193	12969
1291.347	12791
1294.499	12902
1297.651	12881
1300.801	12817
1303.95	12896
1307.098	12917
1310.245	13111
1313.39	13307
1316.535	13359
1319.677	13362
1322.819	13506
1325.96	13512
1329.099	13187
1332.237	13513
1335.374	13404
1338.51	13350
1341.644	13374
1344.778	13074
1347.91	13074
1351.04	13169
1354.17	12911
1357.298	12889
1360.426	12732
1363.552	12874
1366.676	12812
1369.8	12688
1372.922	12826
1376.043	12577
1379.163	12680
1382.282	12700
1385.399	12400
1388.516	12187
1391.631	12200
1394.745	12182
1397.857	11809
1400.969	11653
